编号,深夜出没地,期末生存方式,宵夜频率,想加入的社团,经济状态,毕业最想带走,早八到教室,操场上的位置,搞砸了的那晚,相册里的多数
S0586,食堂窗口,临时抱佛脚,天天吃,辩论队,月初土豪，月底吃土,食堂的那个窗口,早上根本没课，我的课都在下午,跑道上，一个人戴着耳机跑,给家里打个电话,和朋友：合影、表情包、抓拍
S0587,食堂窗口,组团开黑边复习,天天吃,摄影社,月初土豪，月底吃土,食堂的那个窗口,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0588,网吧,死磕课本,天天吃,乐队,兼职自力更生,食堂的那个窗口,选了，但没去过几次,器械区随便练练，练完就走,开黑到凌晨，把气打出去,运动记录、跑步路线、装备
S0589,食堂窗口,死磕课本,一周三五次,辩论队,月初土豪，月底吃土,操场的那圈跑道,卡着铃声冲进去，坐最后一排,球场，组队打一场,睡一觉，第二天照常,课件、板书、PPT 截图
S0590,图书馆自习室,临时抱佛脚,偶尔,辩论队,家里定时打钱,图书馆那张常坐的座位,让室友帮忙占座，自己慢慢来,球场，组队打一场,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0591,食堂窗口,刷往年题,天天吃,乐队,兼职自力更生,操场的那圈跑道,提前十分钟到，坐前排,器械区随便练练，练完就走,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0592,图书馆自习室,组团开黑边复习,偶尔,乐队,靠奖学金过日子,宿舍的那群人,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0593,网吧,临时抱佛脚,一周三五次,乐队,兼职自力更生,食堂的那个窗口,早上根本没课，我的课都在下午,球场，组队打一场,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0594,操场跑道,死磕课本,偶尔,摄影社,兼职自力更生,操场的那圈跑道,提前十分钟到，坐前排,球场，组队打一场,去操场跑到没力气,吃的：外卖、食堂、探店
S0595,操场跑道,临时抱佛脚,天天吃,电竞社,兼职自力更生,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0596,食堂窗口,临时抱佛脚,偶尔,志愿者协会,月初土豪，月底吃土,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,给家里打个电话,风景和现场：演出、展览、天空
S0597,食堂窗口,临时抱佛脚,天天吃,辩论队,月初土豪，月底吃土,食堂的那个窗口,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0598,食堂窗口,组团开黑边复习,一周三五次,摄影社,家里定时打钱,食堂的那个窗口,让室友帮忙占座，自己慢慢来,器械区随便练练，练完就走,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0599,图书馆自习室,提前两周就复习完了,从不,电竞社,家里定时打钱,操场的那圈跑道,提前十分钟到，坐前排,羽毛球乒乓球，约人打,给家里打个电话,风景和现场：演出、展览、天空
S0600,食堂窗口,组团开黑边复习,天天吃,摄影社,靠奖学金过日子,食堂的那个窗口,让室友帮忙占座，自己慢慢来,器械区随便练练，练完就走,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0601,食堂窗口,组团开黑边复习,天天吃,辩论队,兼职自力更生,宿舍的那群人,提前十分钟到，坐前排,看台或树下，看别人动,给家里打个电话,和朋友：合影、表情包、抓拍
S0602,图书馆自习室,提前两周就复习完了,一周三五次,辩论队,靠奖学金过日子,图书馆那张常坐的座位,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,去操场跑到没力气,课件、板书、PPT 截图
S0603,操场跑道,组团开黑边复习,天天吃,乐队,家里定时打钱,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,去操场跑到没力气,课件、板书、PPT 截图
S0604,宿舍床上,组团开黑边复习,偶尔,辩论队,兼职自力更生,什么也没带走，但也没白来,选了，但没去过几次,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0605,网吧,临时抱佛脚,天天吃,志愿者协会,月初土豪，月底吃土,图书馆那张常坐的座位,早上根本没课，我的课都在下午,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0606,操场跑道,临时抱佛脚,从不,摄影社,靠奖学金过日子,图书馆那张常坐的座位,卡着铃声冲进去，坐最后一排,球场，组队打一场,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0607,操场跑道,提前两周就复习完了,天天吃,摄影社,月初土豪，月底吃土,操场的那圈跑道,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0608,网吧,刷往年题,从不,电竞社,兼职自力更生,什么也没带走，但也没白来,提前十分钟到，坐前排,器械区随便练练，练完就走,开黑到凌晨，把气打出去,课件、板书、PPT 截图
S0609,图书馆自习室,提前两周就复习完了,从不,辩论队,靠奖学金过日子,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0610,食堂窗口,组团开黑边复习,天天吃,乐队,家里定时打钱,食堂的那个窗口,让室友帮忙占座，自己慢慢来,器械区随便练练，练完就走,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0611,图书馆自习室,提前两周就复习完了,从不,摄影社,兼职自力更生,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0612,操场跑道,刷往年题,一周三五次,志愿者协会,月初土豪，月底吃土,操场的那圈跑道,提前十分钟到，坐前排,球场，组队打一场,给家里打个电话,运动记录、跑步路线、装备
S0613,宿舍床上,死磕课本,天天吃,志愿者协会,兼职自力更生,操场的那圈跑道,让室友帮忙占座，自己慢慢来,球场，组队打一场,给家里打个电话,运动记录、跑步路线、装备
S0614,操场跑道,刷往年题,一周三五次,乐队,家里定时打钱,宿舍的那群人,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0615,操场跑道,组团开黑边复习,天天吃,电竞社,月初土豪，月底吃土,图书馆那张常坐的座位,选了，但没去过几次,羽毛球乒乓球，约人打,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0616,食堂窗口,提前两周就复习完了,天天吃,乐队,兼职自力更生,食堂的那个窗口,选了，但没去过几次,羽毛球乒乓球，约人打,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0617,宿舍床上,临时抱佛脚,天天吃,乐队,家里定时打钱,食堂的那个窗口,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,开黑到凌晨，把气打出去,课件、板书、PPT 截图
S0618,网吧,临时抱佛脚,一周三五次,电竞社,月初土豪，月底吃土,食堂的那个窗口,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0619,食堂窗口,组团开黑边复习,一周三五次,乐队,兼职自力更生,宿舍的那群人,选了，但没去过几次,羽毛球乒乓球，约人打,给家里打个电话,风景和现场：演出、展览、天空
S0620,食堂窗口,临时抱佛脚,天天吃,辩论队,月初土豪，月底吃土,食堂的那个窗口,选了，但没去过几次,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0621,图书馆自习室,死磕课本,从不,摄影社,靠奖学金过日子,操场的那圈跑道,早上根本没课，我的课都在下午,球场，组队打一场,给家里打个电话,吃的：外卖、食堂、探店
S0622,操场跑道,提前两周就复习完了,一周三五次,电竞社,家里定时打钱,操场的那圈跑道,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,课件、板书、PPT 截图
S0623,宿舍床上,提前两周就复习完了,从不,辩论队,家里定时打钱,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0624,图书馆自习室,刷往年题,从不,辩论队,月初土豪，月底吃土,图书馆那张常坐的座位,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,给家里打个电话,吃的：外卖、食堂、探店
S0625,网吧,死磕课本,天天吃,乐队,靠奖学金过日子,什么也没带走，但也没白来,选了，但没去过几次,球场，组队打一场,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0626,宿舍床上,临时抱佛脚,天天吃,摄影社,家里定时打钱,宿舍的那群人,早上根本没课，我的课都在下午,球场，组队打一场,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0627,宿舍床上,临时抱佛脚,天天吃,乐队,兼职自力更生,什么也没带走，但也没白来,选了，但没去过几次,看台或树下，看别人动,拉朋友出去吃一顿,课件、板书、PPT 截图
S0628,网吧,临时抱佛脚,天天吃,志愿者协会,月初土豪，月底吃土,宿舍的那群人,选了，但没去过几次,跑道上，一个人戴着耳机跑,给家里打个电话,吃的：外卖、食堂、探店
S0629,操场跑道,刷往年题,一周三五次,志愿者协会,家里定时打钱,什么也没带走，但也没白来,选了，但没去过几次,器械区随便练练，练完就走,去操场跑到没力气,吃的：外卖、食堂、探店
S0630,图书馆自习室,死磕课本,偶尔,辩论队,靠奖学金过日子,操场的那圈跑道,卡着铃声冲进去，坐最后一排,球场，组队打一场,睡一觉，第二天照常,运动记录、跑步路线、装备
S0631,操场跑道,组团开黑边复习,偶尔,志愿者协会,家里定时打钱,操场的那圈跑道,提前十分钟到，坐前排,器械区随便练练，练完就走,去操场跑到没力气,课件、板书、PPT 截图
S0632,宿舍床上,提前两周就复习完了,天天吃,乐队,月初土豪，月底吃土,什么也没带走，但也没白来,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,给家里打个电话,和朋友：合影、表情包、抓拍
S0633,操场跑道,组团开黑边复习,天天吃,电竞社,月初土豪，月底吃土,宿舍的那群人,选了，但没去过几次,跑道上，一个人戴着耳机跑,开黑到凌晨，把气打出去,运动记录、跑步路线、装备
S0634,网吧,刷往年题,一周三五次,乐队,月初土豪，月底吃土,宿舍的那群人,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0635,食堂窗口,组团开黑边复习,偶尔,摄影社,兼职自力更生,操场的那圈跑道,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,给家里打个电话,风景和现场：演出、展览、天空
S0636,图书馆自习室,临时抱佛脚,一周三五次,乐队,家里定时打钱,宿舍的那群人,让室友帮忙占座，自己慢慢来,球场，组队打一场,睡一觉，第二天照常,和朋友：合影、表情包、抓拍
S0637,操场跑道,临时抱佛脚,偶尔,乐队,兼职自力更生,图书馆那张常坐的座位,早上根本没课，我的课都在下午,看台或树下，看别人动,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0638,宿舍床上,组团开黑边复习,天天吃,辩论队,月初土豪，月底吃土,宿舍的那群人,提前十分钟到，坐前排,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0639,网吧,死磕课本,天天吃,志愿者协会,兼职自力更生,操场的那圈跑道,选了，但没去过几次,看台或树下，看别人动,开黑到凌晨，把气打出去,风景和现场：演出、展览、天空
S0640,食堂窗口,刷往年题,偶尔,乐队,兼职自力更生,宿舍的那群人,选了，但没去过几次,羽毛球乒乓球，约人打,给家里打个电话,吃的：外卖、食堂、探店
S0641,操场跑道,刷往年题,天天吃,志愿者协会,靠奖学金过日子,图书馆那张常坐的座位,提前十分钟到，坐前排,看台或树下，看别人动,去操场跑到没力气,运动记录、跑步路线、装备
S0642,网吧,临时抱佛脚,从不,辩论队,兼职自力更生,宿舍的那群人,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,给家里打个电话,和朋友：合影、表情包、抓拍
S0643,宿舍床上,组团开黑边复习,天天吃,乐队,月初土豪，月底吃土,宿舍的那群人,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,开黑到凌晨，把气打出去,风景和现场：演出、展览、天空
S0644,食堂窗口,刷往年题,一周三五次,乐队,兼职自力更生,操场的那圈跑道,选了，但没去过几次,羽毛球乒乓球，约人打,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0645,图书馆自习室,刷往年题,天天吃,电竞社,兼职自力更生,宿舍的那群人,早上根本没课，我的课都在下午,看台或树下，看别人动,开黑到凌晨，把气打出去,课件、板书、PPT 截图
S0646,图书馆自习室,死磕课本,偶尔,辩论队,靠奖学金过日子,食堂的那个窗口,提前十分钟到，坐前排,羽毛球乒乓球，约人打,给家里打个电话,课件、板书、PPT 截图
S0647,网吧,临时抱佛脚,一周三五次,乐队,月初土豪，月底吃土,食堂的那个窗口,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0648,宿舍床上,刷往年题,天天吃,电竞社,月初土豪，月底吃土,什么也没带走，但也没白来,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0649,食堂窗口,组团开黑边复习,一周三五次,摄影社,兼职自力更生,食堂的那个窗口,让室友帮忙占座，自己慢慢来,器械区随便练练，练完就走,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0650,食堂窗口,组团开黑边复习,天天吃,辩论队,靠奖学金过日子,宿舍的那群人,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0651,图书馆自习室,死磕课本,从不,辩论队,靠奖学金过日子,什么也没带走，但也没白来,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,风景和现场：演出、展览、天空
S0652,网吧,刷往年题,天天吃,电竞社,家里定时打钱,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,给家里打个电话,运动记录、跑步路线、装备
S0653,宿舍床上,提前两周就复习完了,天天吃,辩论队,靠奖学金过日子,操场的那圈跑道,早上根本没课，我的课都在下午,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0654,网吧,提前两周就复习完了,一周三五次,电竞社,月初土豪，月底吃土,图书馆那张常坐的座位,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0655,食堂窗口,临时抱佛脚,天天吃,摄影社,兼职自力更生,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0656,食堂窗口,提前两周就复习完了,偶尔,乐队,家里定时打钱,操场的那圈跑道,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0657,图书馆自习室,提前两周就复习完了,偶尔,辩论队,靠奖学金过日子,图书馆那张常坐的座位,提前十分钟到，坐前排,球场，组队打一场,给家里打个电话,课件、板书、PPT 截图
S0658,宿舍床上,提前两周就复习完了,偶尔,摄影社,家里定时打钱,图书馆那张常坐的座位,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,去操场跑到没力气,课件、板书、PPT 截图
S0659,食堂窗口,组团开黑边复习,天天吃,志愿者协会,兼职自力更生,宿舍的那群人,卡着铃声冲进去，坐最后一排,器械区随便练练，练完就走,开黑到凌晨，把气打出去,风景和现场：演出、展览、天空
S0660,图书馆自习室,死磕课本,从不,志愿者协会,靠奖学金过日子,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,给家里打个电话,课件、板书、PPT 截图
S0661,图书馆自习室,死磕课本,偶尔,辩论队,家里定时打钱,图书馆那张常坐的座位,选了，但没去过几次,球场，组队打一场,睡一觉，第二天照常,风景和现场：演出、展览、天空
S0662,网吧,临时抱佛脚,偶尔,电竞社,兼职自力更生,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0663,网吧,临时抱佛脚,偶尔,电竞社,兼职自力更生,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,跑道上，一个人戴着耳机跑,给家里打个电话,课件、板书、PPT 截图
S0664,食堂窗口,死磕课本,天天吃,志愿者协会,月初土豪，月底吃土,操场的那圈跑道,早上根本没课，我的课都在下午,看台或树下，看别人动,去操场跑到没力气,吃的：外卖、食堂、探店
S0665,食堂窗口,提前两周就复习完了,天天吃,乐队,月初土豪，月底吃土,宿舍的那群人,早上根本没课，我的课都在下午,球场，组队打一场,去操场跑到没力气,吃的：外卖、食堂、探店
S0666,网吧,提前两周就复习完了,一周三五次,乐队,月初土豪，月底吃土,操场的那圈跑道,卡着铃声冲进去，坐最后一排,球场，组队打一场,给家里打个电话,和朋友：合影、表情包、抓拍
S0667,宿舍床上,临时抱佛脚,天天吃,电竞社,家里定时打钱,食堂的那个窗口,早上根本没课，我的课都在下午,器械区随便练练，练完就走,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0668,图书馆自习室,临时抱佛脚,天天吃,志愿者协会,兼职自力更生,宿舍的那群人,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,给家里打个电话,运动记录、跑步路线、装备
S0669,网吧,刷往年题,天天吃,电竞社,月初土豪，月底吃土,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,给家里打个电话,吃的：外卖、食堂、探店
S0670,宿舍床上,刷往年题,偶尔,乐队,靠奖学金过日子,操场的那圈跑道,早上根本没课，我的课都在下午,跑道上，一个人戴着耳机跑,去操场跑到没力气,风景和现场：演出、展览、天空
S0671,操场跑道,刷往年题,偶尔,志愿者协会,靠奖学金过日子,什么也没带走，但也没白来,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,给家里打个电话,风景和现场：演出、展览、天空
S0672,食堂窗口,组团开黑边复习,一周三五次,乐队,兼职自力更生,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0673,食堂窗口,提前两周就复习完了,偶尔,乐队,兼职自力更生,操场的那圈跑道,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0674,操场跑道,死磕课本,一周三五次,摄影社,月初土豪，月底吃土,宿舍的那群人,让室友帮忙占座，自己慢慢来,跑道上，一个人戴着耳机跑,给家里打个电话,课件、板书、PPT 截图
S0675,宿舍床上,组团开黑边复习,天天吃,辩论队,家里定时打钱,食堂的那个窗口,早上根本没课，我的课都在下午,看台或树下，看别人动,拉朋友出去吃一顿,课件、板书、PPT 截图
S0676,宿舍床上,刷往年题,一周三五次,辩论队,靠奖学金过日子,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0677,图书馆自习室,提前两周就复习完了,从不,摄影社,家里定时打钱,图书馆那张常坐的座位,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,睡一觉，第二天照常,风景和现场：演出、展览、天空
S0678,网吧,临时抱佛脚,天天吃,电竞社,家里定时打钱,什么也没带走，但也没白来,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0679,图书馆自习室,死磕课本,从不,辩论队,靠奖学金过日子,食堂的那个窗口,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,给家里打个电话,运动记录、跑步路线、装备
S0680,食堂窗口,组团开黑边复习,一周三五次,志愿者协会,兼职自力更生,宿舍的那群人,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,去操场跑到没力气,风景和现场：演出、展览、天空
S0681,操场跑道,组团开黑边复习,从不,乐队,兼职自力更生,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,睡一觉，第二天照常,和朋友：合影、表情包、抓拍
S0682,食堂窗口,组团开黑边复习,天天吃,志愿者协会,月初土豪，月底吃土,宿舍的那群人,选了，但没去过几次,羽毛球乒乓球，约人打,给家里打个电话,吃的：外卖、食堂、探店
S0683,操场跑道,组团开黑边复习,一周三五次,志愿者协会,兼职自力更生,操场的那圈跑道,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,运动记录、跑步路线、装备
S0684,网吧,死磕课本,天天吃,摄影社,月初土豪，月底吃土,什么也没带走，但也没白来,早上根本没课，我的课都在下午,看台或树下，看别人动,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0685,宿舍床上,提前两周就复习完了,偶尔,摄影社,靠奖学金过日子,图书馆那张常坐的座位,提前十分钟到，坐前排,球场，组队打一场,给家里打个电话,课件、板书、PPT 截图
S0686,图书馆自习室,死磕课本,从不,辩论队,家里定时打钱,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0687,网吧,提前两周就复习完了,一周三五次,电竞社,家里定时打钱,宿舍的那群人,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,给家里打个电话,吃的：外卖、食堂、探店
S0688,操场跑道,临时抱佛脚,天天吃,电竞社,月初土豪，月底吃土,操场的那圈跑道,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0689,食堂窗口,组团开黑边复习,天天吃,乐队,家里定时打钱,食堂的那个窗口,提前十分钟到，坐前排,看台或树下，看别人动,睡一觉，第二天照常,风景和现场：演出、展览、天空
S0690,操场跑道,提前两周就复习完了,偶尔,志愿者协会,家里定时打钱,操场的那圈跑道,提前十分钟到，坐前排,器械区随便练练，练完就走,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0691,操场跑道,临时抱佛脚,天天吃,乐队,月初土豪，月底吃土,宿舍的那群人,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0692,操场跑道,临时抱佛脚,偶尔,志愿者协会,兼职自力更生,宿舍的那群人,提前十分钟到，坐前排,球场，组队打一场,开黑到凌晨，把气打出去,风景和现场：演出、展览、天空
S0693,食堂窗口,组团开黑边复习,天天吃,摄影社,月初土豪，月底吃土,食堂的那个窗口,选了，但没去过几次,看台或树下，看别人动,给家里打个电话,课件、板书、PPT 截图
S0694,操场跑道,刷往年题,天天吃,电竞社,月初土豪，月底吃土,操场的那圈跑道,提前十分钟到，坐前排,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,运动记录、跑步路线、装备
S0695,食堂窗口,提前两周就复习完了,偶尔,辩论队,月初土豪，月底吃土,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0696,操场跑道,临时抱佛脚,天天吃,乐队,月初土豪，月底吃土,宿舍的那群人,让室友帮忙占座，自己慢慢来,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0697,宿舍床上,刷往年题,偶尔,摄影社,兼职自力更生,操场的那圈跑道,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,给家里打个电话,吃的：外卖、食堂、探店
S0698,食堂窗口,临时抱佛脚,从不,辩论队,月初土豪，月底吃土,操场的那圈跑道,卡着铃声冲进去，坐最后一排,球场，组队打一场,给家里打个电话,和朋友：合影、表情包、抓拍
S0699,食堂窗口,组团开黑边复习,天天吃,志愿者协会,月初土豪，月底吃土,操场的那圈跑道,选了，但没去过几次,球场，组队打一场,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0700,图书馆自习室,提前两周就复习完了,从不,乐队,兼职自力更生,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,给家里打个电话,课件、板书、PPT 截图
S0701,操场跑道,刷往年题,偶尔,乐队,兼职自力更生,操场的那圈跑道,早上根本没课，我的课都在下午,跑道上，一个人戴着耳机跑,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0702,宿舍床上,临时抱佛脚,天天吃,辩论队,兼职自力更生,宿舍的那群人,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,给家里打个电话,和朋友：合影、表情包、抓拍
S0703,宿舍床上,临时抱佛脚,天天吃,乐队,兼职自力更生,食堂的那个窗口,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,睡一觉，第二天照常,风景和现场：演出、展览、天空
S0704,食堂窗口,临时抱佛脚,偶尔,乐队,家里定时打钱,宿舍的那群人,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0705,网吧,组团开黑边复习,一周三五次,乐队,月初土豪，月底吃土,图书馆那张常坐的座位,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,拉朋友出去吃一顿,课件、板书、PPT 截图
S0706,网吧,组团开黑边复习,一周三五次,乐队,月初土豪，月底吃土,宿舍的那群人,选了，但没去过几次,看台或树下，看别人动,睡一觉，第二天照常,课件、板书、PPT 截图
S0707,操场跑道,临时抱佛脚,天天吃,摄影社,家里定时打钱,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0708,操场跑道,死磕课本,一周三五次,摄影社,月初土豪，月底吃土,操场的那圈跑道,让室友帮忙占座，自己慢慢来,跑道上，一个人戴着耳机跑,给家里打个电话,吃的：外卖、食堂、探店
S0709,宿舍床上,组团开黑边复习,从不,辩论队,月初土豪，月底吃土,图书馆那张常坐的座位,选了，但没去过几次,器械区随便练练，练完就走,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0710,网吧,临时抱佛脚,天天吃,电竞社,兼职自力更生,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0711,食堂窗口,刷往年题,偶尔,志愿者协会,月初土豪，月底吃土,宿舍的那群人,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0712,网吧,刷往年题,偶尔,乐队,兼职自力更生,食堂的那个窗口,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0713,操场跑道,临时抱佛脚,偶尔,摄影社,月初土豪，月底吃土,什么也没带走，但也没白来,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,给家里打个电话,运动记录、跑步路线、装备
S0714,图书馆自习室,死磕课本,从不,辩论队,兼职自力更生,操场的那圈跑道,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,给家里打个电话,风景和现场：演出、展览、天空
S0715,宿舍床上,刷往年题,偶尔,志愿者协会,月初土豪，月底吃土,宿舍的那群人,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0716,网吧,临时抱佛脚,天天吃,电竞社,月初土豪，月底吃土,操场的那圈跑道,选了，但没去过几次,看台或树下，看别人动,拉朋友出去吃一顿,课件、板书、PPT 截图
S0717,操场跑道,提前两周就复习完了,一周三五次,志愿者协会,兼职自力更生,操场的那圈跑道,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,给家里打个电话,运动记录、跑步路线、装备
S0718,操场跑道,组团开黑边复习,从不,志愿者协会,月初土豪，月底吃土,操场的那圈跑道,提前十分钟到，坐前排,器械区随便练练，练完就走,开黑到凌晨，把气打出去,课件、板书、PPT 截图
S0719,食堂窗口,刷往年题,一周三五次,志愿者协会,兼职自力更生,宿舍的那群人,让室友帮忙占座，自己慢慢来,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
